Time,Gx,Gy,Gz
0.15,0.0,0.0,0.0
0.23,0.0,0.0,0.0
0.3,0.0,0.0,0.0
0.38,0.0,0.0,0.0
0.45,0.0,0.0,0.0
0.53,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.66,0.0,0.0,0.0
0.73,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.87,0.0,0.0,0.0
0.94,0.0,0.0,0.0
1.02,0.0,0.0,0.0
1.1,0.0,0.0,0.0
1.18,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.33,0.0,0.0,0.0
1.4,0.0,0.0,0.0
1.47,0.0,0.0,0.0
1.54,0.0,0.0,0.0
1.61,0.0,0.0,0.0
1.67,0.0,0.0,0.0
1.75,0.0,0.0,0.0
1.83,0.0,0.0,0.0
1.9,0.0,0.0,0.0
1.96,0.0,0.0,0.0
2.02,0.0,0.0,0.0
2.08,0.0,0.0,0.0
2.15,0.0,0.0,0.0
2.21,-12.9,-115.2,127.79
2.28,19.24,-57.77,136.04
2.35,181.91,250.0,80.75
2.41,148.13,245.02,89.4
2.48,134.1,167.92,24.32
2.55,4.12,33.71,21.11
2.61,-7.97,-1.06,-28.78
2.68,7.4,19.45,-5.31
2.75,19.13,10.98,-55.3
2.81,5.87,1.35,-14.89
2.88,4.09,1.42,-1.68
2.96,126.08,67.35,26.23
3.03,204.38,97.64,37.63
3.1,250.0,124.73,55.68
3.16,227.67,48.96,16.2
3.23,31.49,-22.46,-54.52
3.3,-15.11,-28.85,7.14
3.36,-8.69,-7.82,-4.18
3.43,9.4,8.09,19.66
3.5,-14.71,-69.72,-70.94
3.56,-68.8,-148.6,-84.57
3.63,-249.99,-249.99,88.55
3.7,-249.99,-245.49,-6.34
3.77,-162.66,-123.12,-54.65
3.83,-101.12,-83.36,-70.21
3.9,-103.73,-46.92,-13.09
3.97,-125.46,-26.99,101.39
4.03,-95.95,4.05,78.62
4.1,-33.7,-32.65,7.55
4.17,-7.9,-10.16,29.13
4.24,-28.79,5.71,94.76
4.3,-22.7,-5.26,87.6
4.37,-63.96,17.36,179.52
4.44,-14.17,-1.28,54.25
4.5,-29.92,0.39,121.37
4.57,-37.57,-4.28,131.73
4.64,-64.34,-4.93,226.87
4.7,-82.88,-17.98,248.93
4.77,-66.73,-36.3,236.16
4.84,50.1,-32.58,-23.07
4.9,34.76,-40.92,-1.39
4.97,69.01,-75.35,-72.0
5.04,134.68,18.45,-187.92
5.1,37.62,-23.62,-13.57
5.17,-39.92,-38.22,118.52
5.23,-78.49,-17.59,151.6
5.3,75.9,96.32,-33.02
5.36,41.35,-103.24,-109.54
5.43,20.06,7.91,-115.89
5.5,58.18,20.05,-57.92
5.56,89.97,-54.24,-4.98
5.63,52.28,-26.2,-14.2
5.7,-39.98,-5.49,-22.31
5.76,-124.08,-3.58,-49.14
5.83,-245.99,-2.36,-77.7
5.9,-249.99,-33.64,-99.63
5.97,-249.99,1.38,-126.2
6.03,-233.33,-32.51,-75.63
6.1,-202.8,-4.4,-52.79
6.17,-39.12,-15.05,-19.84
6.24,86.4,-69.17,24.13
6.3,145.38,-62.93,14.47
6.37,250.0,-22.48,13.3
6.44,250.0,12.57,18.02
6.5,250.0,-72.31,181.96
6.57,250.0,-66.12,123.12
6.64,250.0,-45.69,-16.91
6.7,250.0,-59.51,3.99
6.77,165.63,-64.24,57.78
6.84,163.37,-26.8,7.52
6.91,108.72,-5.96,4.42
6.97,61.12,-4.14,6.83
7.04,55.62,6.47,6.95
7.11,41.01,-3.53,3.86
7.17,30.18,-8.47,4.56
7.24,37.06,-7.54,4.03
7.31,49.81,-13.97,13.36
7.37,53.76,-9.74,8.97
7.44,69.89,4.32,-11.98
7.5,64.81,12.67,-15.52
7.57,39.48,19.25,-25.01
7.63,-9.18,7.35,-23.39
7.7,-171.72,23.92,-92.5
7.77,-248.42,28.8,-117.04
7.83,-249.99,17.27,-162.21
7.9,-249.99,33.49,-160.86
7.96,-249.99,48.41,-20.01
8.03,-218.28,-6.88,-24.66
8.1,-202.5,-10.0,-41.38
8.16,-203.05,16.74,-13.28
8.23,-208.91,14.75,-29.08
8.3,-150.8,3.32,-41.71
8.36,-167.07,4.73,-0.68
8.43,-214.96,51.6,-7.07
8.5,-203.13,4.13,21.67
8.57,-69.01,7.29,-24.39
8.63,-7.65,-7.65,77.81
8.7,6.19,-15.37,33.75
8.77,18.55,-50.61,-14.44
8.83,25.39,-60.88,-3.08
